Employee_ID,Department,Job_Level,Gender,Location,Education,Experience_Years,Performance_Rating,Remote_Work,Base_Salary(USD),Bonus_Percentage(%),Bonus_Amount(USD),Total_Compensation(USD)
EMP0001,Design,Mid,Male,Seattle,Bachelor,20,4,No,119160,19.0,22640,141800
EMP0002,Legal,Manager,Male,Chicago,Bachelor,15,3,No,184083,0.7,1288,185371
EMP0003,Engineering,Director,Male,Chicago,PhD,15,4,Yes,237389,16.8,39881,277270
EMP0004,Design,Lead,Female,Austin,Bachelor,21,4,No,153230,12.4,19000,172230
EMP0005,Marketing,Mid,Male,New York,Bachelor,11,2,Yes,95658,14.3,13679,109337
EMP0006,Legal,Mid,Male,Remote,Bachelor,1,4,No,79549,9.3,7398,86947
EMP0007,Legal,Mid,Male,Seattle,Bachelor,22,4,No,136613,17.9,24453,161066
EMP0008,Finance,Manager,Female,Seattle,Master,23,3,No,204085,16.8,34286,238371
EMP0009,Marketing,Manager,Male,Chicago,Bachelor,13,4,No,158596,14.5,22996,181592
EMP0010,Design,Mid,Male,Austin,Master,10,4,Yes,86935,21.5,18691,105626
EMP0011,Finance,Senior,Male,San Francisco,Bachelor,8,4,Yes,152827,2.5,3820,156647
EMP0012,Finance,Junior,Female,Chicago,Master,21,4,Yes,94681,7.5,7101,101782
EMP0013,Legal,Mid,Female,Chicago,Bachelor,6,4,No,97961,12.4,12147,110108
EMP0014,Operations,Senior,Male,Seattle,High School,11,4,No,121429,24.0,29142,150571
EMP0015,Finance,Mid,Male,Seattle,Bachelor,16,4,Yes,127382,1.8,2292,129674
EMP0016,Legal,Mid,Male,Chicago,Bachelor,8,3,No,102720,8.4,8628,111348
EMP0017,HR,Junior,Female,Seattle,Bachelor,5,3,Yes,60671,23.1,14015,74686
EMP0018,Finance,Lead,Female,Austin,Bachelor,11,3,No,146526,22.4,32821,179347
EMP0019,HR,Manager,Male,San Francisco,Master,19,3,No,176196,21.6,38058,214254
EMP0020,Design,Director,Female,San Francisco,High School,9,3,No,221874,7.7,17084,238958
EMP0021,Sales,Lead,Male,San Francisco,Bachelor,8,3,Yes,178644,21.2,37872,216516
EMP0022,Operations,Senior,Female,Chicago,Bachelor,11,5,No,117012,12.6,14743,131755
EMP0023,Design,Mid,Female,Remote,Master,0,5,Yes,70683,15.5,10955,81638
EMP0024,Engineering,Director,Female,Chicago,High School,1,4,Yes,218958,6.0,13137,232095
EMP0025,Marketing,Senior,Male,Chicago,High School,18,5,No,132318,17.7,23420,155738
EMP0026,Marketing,Senior,Female,Austin,Bachelor,0,5,No,99909,8.2,8192,108101
EMP0027,Sales,Senior,Male,San Francisco,Master,15,5,Yes,162591,8.6,13982,176573
EMP0028,Finance,Lead,Male,Seattle,Master,15,2,No,172765,15.9,27469,200234
EMP0029,Engineering,Junior,Male,Seattle,High School,17,3,No,103543,6.0,6212,109755
EMP0030,Sales,Mid,Male,New York,Bachelor,17,4,No,119567,5.6,6695,126262
EMP0031,Sales,Senior,Male,New York,Bachelor,22,2,No,147007,9.2,13524,160531
EMP0032,Marketing,Manager,Non-binary,Remote,Bachelor,12,4,Yes,133504,19.5,26033,159537
EMP0033,HR,Senior,Female,Seattle,Bachelor,21,2,Yes,131222,5.6,7348,138570
EMP0034,Design,Mid,Male,San Francisco,Bachelor,11,3,No,109272,19.7,21526,130798
EMP0035,Design,Mid,Male,Chicago,Bachelor,8,2,Yes,85886,17.4,14944,100830
EMP0036,HR,Lead,Male,Seattle,Bachelor,4,4,No,143191,17.0,24342,167533
EMP0037,Finance,Lead,Male,Remote,Bachelor,8,4,Yes,133888,11.9,15932,149820
EMP0038,Finance,Senior,Male,Remote,Bachelor,12,4,No,121260,18.6,22554,143814
EMP0039,Legal,Mid,Male,Seattle,Bachelor,15,3,No,126292,0.3,378,126670
EMP0040,Legal,Manager,Female,New York,Bachelor,9,4,No,180868,7.6,13745,194613
EMP0041,Design,Senior,Female,San Francisco,Master,15,4,No,152704,17.0,25959,178663
EMP0042,Sales,Lead,Female,Seattle,Master,13,4,Yes,168876,24.7,41712,210588
EMP0043,Finance,Mid,Female,Chicago,Bachelor,24,3,Yes,117722,0.1,117,117839
EMP0044,HR,Mid,Male,Chicago,Bachelor,1,2,No,67587,12.7,8583,76170
EMP0045,Design,Manager,Male,Austin,Bachelor,24,1,No,162833,23.1,37614,200447
EMP0046,Engineering,Junior,Male,Chicago,Bachelor,18,4,No,94092,21.6,20323,114415
EMP0047,Marketing,Senior,Female,Seattle,PhD,10,3,No,126940,0.6,761,127701
EMP0048,HR,Senior,Male,Seattle,Bachelor,18,2,No,135456,13.2,17880,153336
EMP0049,Legal,Lead,Male,Chicago,Master,10,3,No,161908,0.1,161,162069
EMP0050,Operations,Mid,Female,New York,Bachelor,13,4,Yes,107717,19.7,21220,128937
EMP0051,Finance,Mid,Male,San Francisco,Master,14,4,No,126384,7.7,9731,136115
EMP0052,Marketing,Manager,Female,Remote,Master,24,4,Yes,154400,19.1,29490,183890
EMP0053,Operations,Senior,Female,Seattle,Master,6,4,No,124572,23.6,29398,153970
EMP0054,Design,Junior,Male,Chicago,Bachelor,14,2,No,71251,24.4,17385,88636
EMP0055,Marketing,Junior,Female,Remote,Master,23,3,No,85116,22.4,19065,104181
EMP0056,Sales,Director,Female,Chicago,Bachelor,22,3,Yes,209609,5.1,10690,220299
EMP0057,Design,Junior,Female,Seattle,PhD,24,3,No,99828,4.9,4891,104719
EMP0058,Finance,Senior,Male,Austin,Master,7,5,Yes,127491,15.6,19888,147379
EMP0059,Sales,Mid,Female,San Francisco,Bachelor,3,4,Yes,99089,13.6,13476,112565
EMP0060,Design,Manager,Male,Seattle,PhD,17,4,Yes,182553,0.2,365,182918
EMP0061,Marketing,Lead,Female,Remote,Master,13,3,No,124720,9.8,12222,136942
EMP0062,Sales,Senior,Male,Chicago,Master,20,3,Yes,136742,22.7,31040,167782
EMP0063,Design,Junior,Male,Austin,Bachelor,17,3,Yes,79900,22.5,17977,97877
EMP0064,Design,Manager,Male,Seattle,PhD,3,4,Yes,167739,5.1,8554,176293
EMP0065,Finance,Mid,Male,San Francisco,Master,1,3,Yes,101264,9.5,9620,110884
EMP0066,HR,Manager,Male,Austin,Master,20,3,Yes,153110,14.0,21435,174545
EMP0067,Engineering,Senior,Male,Remote,PhD,5,4,Yes,123999,21.3,26411,150410
EMP0068,Operations,Senior,Male,Chicago,Bachelor,10,5,No,112163,13.3,14917,127080
EMP0069,HR,Junior,Male,New York,Bachelor,0,3,No,53499,24.2,12946,66445
EMP0070,Design,Lead,Male,San Francisco,Bachelor,14,2,Yes,174427,20.0,34885,209312
EMP0071,Marketing,Mid,Male,Austin,High School,11,3,No,92248,23.8,21955,114203
EMP0072,Design,Mid,Female,Seattle,Master,23,4,Yes,126304,18.3,23113,149417
EMP0073,HR,Junior,Female,Seattle,Bachelor,17,3,Yes,80216,21.9,17567,97783
EMP0074,Sales,Junior,Male,Austin,Bachelor,4,4,No,64948,20.8,13509,78457
EMP0075,Finance,Junior,Female,Seattle,Bachelor,10,4,No,76614,6.3,4826,81440
EMP0076,HR,Mid,Female,Austin,Bachelor,23,3,No,104783,5.7,5972,110755
EMP0077,HR,Manager,Male,San Francisco,Bachelor,20,2,Yes,177651,21.6,38372,216023
EMP0078,Finance,Mid,Male,Seattle,High School,18,3,No,119357,2.1,2506,121863
EMP0079,Sales,Lead,Male,San Francisco,Bachelor,21,3,No,192631,10.2,19648,212279
EMP0080,Engineering,Junior,Non-binary,Chicago,Master,0,3,No,64288,20.5,13179,77467
EMP0081,HR,Senior,Male,Chicago,Master,16,4,No,120659,20.3,24493,145152
EMP0082,Operations,Senior,Female,Chicago,High School,7,4,Yes,112890,3.5,3951,116841
EMP0083,Marketing,Director,Male,Chicago,Bachelor,22,2,Yes,187977,12.2,22933,210910
EMP0084,Legal,Lead,Female,Seattle,Bachelor,15,4,No,188558,12.0,22626,211184
EMP0085,Sales,Senior,Male,Austin,Bachelor,10,3,Yes,119902,8.1,9712,129614
EMP0086,Design,Lead,Male,Seattle,PhD,18,4,No,174207,22.9,39893,214100
EMP0087,Sales,Junior,Male,Remote,Bachelor,23,4,Yes,86979,16.3,14177,101156
EMP0088,HR,Senior,Female,Seattle,Bachelor,10,4,No,127267,24.5,31180,158447
EMP0089,Operations,Junior,Male,San Francisco,Bachelor,14,3,Yes,87145,1.7,1481,88626
EMP0090,Legal,Mid,Male,Austin,PhD,7,4,Yes,100246,9.9,9924,110170
EMP0091,Design,Mid,Female,New York,Bachelor,13,4,No,103470,20.9,21625,125095
EMP0092,Finance,Lead,Female,New York,Bachelor,0,2,Yes,155184,10.6,16449,171633
EMP0093,Legal,Senior,Male,Austin,Bachelor,9,4,Yes,126887,6.5,8247,135134
EMP0094,HR,Lead,Male,New York,Bachelor,6,4,Yes,138120,24.9,34391,172511
EMP0095,HR,Senior,Male,Austin,Master,17,3,No,120184,21.8,26200,146384
EMP0096,Finance,Junior,Male,San Francisco,High School,11,3,No,95748,13.7,13117,108865
EMP0097,Marketing,Lead,Female,San Francisco,Master,1,4,No,153782,14.0,21529,175311
EMP0098,Finance,Lead,Male,Seattle,Bachelor,17,2,No,178660,0.2,357,179017
EMP0099,HR,Manager,Female,New York,Bachelor,20,3,Yes,168539,24.5,41292,209831
EMP0100,Engineering,Senior,Male,Austin,Bachelor,6,3,Yes,132908,20.2,26847,159755
EMP0101,Finance,Lead,Male,San Francisco,Master,19,1,Yes,197346,0.9,1776,199122
EMP0102,Design,Lead,Female,Seattle,Bachelor,11,3,No,160768,4.4,7073,167841
EMP0103,Marketing,Junior,Female,New York,Bachelor,19,3,No,90276,20.5,18506,108782
EMP0104,Finance,Junior,Male,New York,High School,24,3,Yes,101675,2.2,2236,103911
EMP0105,Finance,Junior,Female,New York,Master,13,4,Yes,89908,23.5,21128,111036
EMP0106,Sales,Mid,Female,San Francisco,Master,9,3,Yes,109974,25.0,27493,137467
EMP0107,Sales,Senior,Male,San Francisco,Master,8,1,Yes,145314,22.2,32259,177573
EMP0108,HR,Director,Male,New York,Bachelor,22,3,Yes,194750,18.5,36028,230778
EMP0109,Design,Mid,Male,San Francisco,Bachelor,14,1,Yes,113058,12.2,13793,126851
EMP0110,HR,Lead,Female,New York,Bachelor,19,3,Yes,154596,2.1,3246,157842
EMP0111,Legal,Senior,Male,Chicago,Bachelor,23,3,No,154996,18.3,28364,183360
EMP0112,Design,Mid,Female,San Francisco,Master,9,4,Yes,102941,9.9,10191,113132
EMP0113,Finance,Junior,Female,Austin,Master,18,3,No,83687,14.3,11967,95654
EMP0114,Engineering,Senior,Female,San Francisco,Master,18,3,No,188682,7.3,13773,202455
EMP0115,Operations,Lead,Female,New York,Bachelor,11,4,No,143609,6.1,8760,152369
EMP0116,HR,Director,Male,Austin,Master,22,3,Yes,176543,8.1,14299,190842
EMP0117,Finance,Mid,Female,Seattle,PhD,11,4,No,110845,20.3,22501,133346
EMP0118,Finance,Manager,Female,Austin,Bachelor,8,4,Yes,162366,10.7,17373,179739
EMP0119,Operations,Mid,Male,Austin,Bachelor,19,3,Yes,98862,7.8,7711,106573
EMP0120,Finance,Senior,Female,San Francisco,Bachelor,3,5,No,152614,10.8,16482,169096
EMP0121,Operations,Senior,Female,Remote,Bachelor,0,5,No,90946,0.8,727,91673
EMP0122,Operations,Junior,Male,Austin,Master,15,3,Yes,69563,22.3,15512,85075
EMP0123,Legal,Junior,Male,Austin,Bachelor,0,5,No,70012,13.8,9661,79673
EMP0124,Finance,Junior,Male,New York,Bachelor,12,4,Yes,83767,2.6,2177,85944
EMP0125,Legal,Mid,Non-binary,San Francisco,Bachelor,2,5,No,111628,7.2,8037,119665
EMP0126,Finance,Lead,Female,New York,Bachelor,11,4,No,170651,24.6,41980,212631
EMP0127,Sales,Junior,Male,San Francisco,Bachelor,22,4,Yes,106229,14.8,15721,121950
EMP0128,Operations,Senior,Female,Seattle,PhD,8,1,Yes,120200,7.3,8774,128974
EMP0129,Marketing,Mid,Male,Remote,Bachelor,3,3,No,68340,10.7,7312,75652
EMP0130,Operations,Lead,Male,Austin,Master,1,3,No,118176,6.5,7681,125857
EMP0131,Marketing,Lead,Male,San Francisco,Master,21,3,No,176807,0.8,1414,178221
EMP0132,Finance,Lead,Female,Austin,Bachelor,21,5,No,165449,21.1,34909,200358
EMP0133,HR,Senior,Non-binary,Austin,PhD,8,2,No,95361,7.3,6961,102322
EMP0134,Engineering,Mid,Non-binary,Chicago,Bachelor,19,4,Yes,125362,21.0,26326,151688
EMP0135,Legal,Lead,Male,New York,Master,23,3,No,194988,12.0,23398,218386
EMP0136,Finance,Junior,Female,Remote,Master,12,1,Yes,69353,4.6,3190,72543
EMP0137,Engineering,Mid,Female,San Francisco,Bachelor,13,4,No,138294,20.0,27658,165952
EMP0138,Sales,Junior,Male,Seattle,Bachelor,2,3,No,66800,9.4,6279,73079
EMP0139,Marketing,Senior,Female,Remote,Master,17,5,No,120615,17.7,21348,141963
EMP0140,Legal,Senior,Female,Chicago,Bachelor,8,3,No,132242,20.9,27638,159880
EMP0141,Sales,Senior,Female,New York,Bachelor,14,3,Yes,141727,24.1,34156,175883
EMP0142,HR,Mid,Male,Seattle,Master,21,1,No,103253,2.1,2168,105421
EMP0143,HR,Junior,Female,Seattle,Master,23,3,Yes,85685,0.2,171,85856
EMP0144,Operations,Manager,Female,Austin,Bachelor,9,1,No,134152,13.7,18378,152530
EMP0145,Legal,Senior,Female,New York,High School,24,3,Yes,173900,6.6,11477,185377
EMP0146,Legal,Mid,Male,Chicago,Bachelor,16,4,Yes,115702,11.7,13537,129239
EMP0147,Legal,Senior,Female,San Francisco,High School,12,2,Yes,164474,1.8,2960,167434
EMP0148,Finance,Junior,Male,San Francisco,Bachelor,0,3,Yes,75509,12.5,9438,84947
EMP0149,Design,Junior,Male,Chicago,PhD,10,4,No,72869,3.1,2258,75127
EMP0150,Design,Mid,Female,Austin,High School,4,3,No,75738,21.0,15904,91642
EMP0151,Operations,Mid,Non-binary,Austin,Bachelor,8,3,No,83142,19.0,15796,98938
EMP0152,HR,Mid,Female,Seattle,Master,6,4,Yes,94861,1.9,1802,96663
EMP0153,HR,Manager,Female,New York,High School,6,4,Yes,148385,20.9,31012,179397
EMP0154,Operations,Senior,Male,Seattle,High School,1,4,No,112533,8.1,9115,121648
EMP0155,Sales,Senior,Male,San Francisco,Master,18,4,Yes,164064,8.8,14437,178501
EMP0156,Engineering,Senior,Female,Chicago,Master,19,3,No,158294,4.5,7123,165417
EMP0157,Marketing,Director,Female,New York,Master,17,2,Yes,204686,20.9,42779,247465
EMP0158,HR,Junior,Female,Chicago,Master,9,3,No,64961,10.1,6561,71522
EMP0159,Operations,Lead,Male,New York,Bachelor,24,5,No,169886,1.2,2038,171924
EMP0160,HR,Senior,Female,Remote,Master,4,2,No,90631,24.2,21932,112563
EMP0161,Sales,Junior,Female,San Francisco,High School,15,4,No,96749,6.4,6191,102940
EMP0162,Legal,Mid,Male,San Francisco,Bachelor,22,4,No,142399,23.4,33321,175720
EMP0163,Legal,Senior,Male,Remote,Bachelor,24,3,No,136094,7.5,10207,146301
EMP0164,Design,Senior,Male,New York,Bachelor,4,3,No,121620,20.8,25296,146916
EMP0165,Marketing,Mid,Female,Austin,Bachelor,14,3,Yes,94927,16.6,15757,110684
EMP0166,Design,Senior,Female,New York,Bachelor,21,2,No,138989,21.5,29882,168871
EMP0167,Legal,Senior,Female,San Francisco,Bachelor,15,3,No,169784,24.4,41427,211211
EMP0168,Legal,Mid,Male,Chicago,Bachelor,3,1,No,89057,21.8,19414,108471
EMP0169,Sales,Manager,Female,Seattle,Master,13,4,No,178506,10.1,18029,196535
EMP0170,Design,Manager,Female,Chicago,Master,23,5,Yes,177802,20.4,36271,214073
EMP0171,Engineering,Senior,Male,San Francisco,Bachelor,16,4,No,188323,17.8,33521,221844
EMP0172,Sales,Director,Non-binary,Chicago,Bachelor,16,4,Yes,205638,1.5,3084,208722
EMP0173,Marketing,Junior,Male,Austin,Bachelor,20,3,No,74956,23.2,17389,92345
EMP0174,Legal,Junior,Male,Austin,Bachelor,15,3,Yes,84213,11.6,9768,93981
EMP0175,Design,Mid,Male,New York,Master,8,1,Yes,95591,3.4,3250,98841
EMP0176,Marketing,Senior,Male,Chicago,High School,1,3,No,99292,10.6,10524,109816
EMP0177,HR,Senior,Female,Chicago,Bachelor,10,4,No,111679,15.1,16863,128542
EMP0178,Engineering,Senior,Male,San Francisco,Bachelor,14,5,No,182065,14.3,26035,208100
EMP0179,Finance,Junior,Female,New York,Master,2,3,No,68968,14.4,9931,78899
EMP0180,HR,Junior,Male,New York,High School,23,3,Yes,88197,6.4,5644,93841
EMP0181,Legal,Manager,Male,Chicago,Master,15,3,Yes,184555,15.8,29159,213714
EMP0182,Operations,Manager,Female,Seattle,High School,20,3,No,178179,22.7,40446,218625
EMP0183,Sales,Senior,Female,Chicago,Master,18,4,No,137343,9.7,13322,150665
EMP0184,Design,Senior,Male,Chicago,PhD,21,4,No,142752,15.8,22554,165306
EMP0185,Design,Senior,Non-binary,Chicago,Bachelor,5,4,No,109760,6.1,6695,116455
EMP0186,Sales,Mid,Female,Austin,Master,13,4,No,96936,1.2,1163,98099
EMP0187,Marketing,Mid,Male,Remote,Master,4,3,No,72739,14.6,10619,83358
EMP0188,Operations,Senior,Male,New York,Master,4,5,No,115832,1.2,1389,117221
EMP0189,Marketing,Senior,Male,Remote,Master,5,4,No,97368,18.1,17623,114991
EMP0190,Operations,Junior,Female,Austin,Bachelor,17,3,No,76314,16.8,12820,89134
EMP0191,Marketing,Director,Male,Seattle,Bachelor,21,3,No,214384,9.2,19723,234107
EMP0192,Finance,Lead,Male,San Francisco,PhD,17,4,No,200820,10.3,20684,221504
EMP0193,Finance,Mid,Male,Seattle,Bachelor,18,3,Yes,124674,22.9,28550,153224
EMP0194,HR,Senior,Male,New York,PhD,1,4,Yes,106610,0.3,319,106929
EMP0195,Finance,Manager,Female,San Francisco,Bachelor,16,3,Yes,211200,14.1,29779,240979
EMP0196,Operations,Junior,Female,Remote,Bachelor,0,4,Yes,48920,23.1,11300,60220
EMP0197,Marketing,Senior,Male,Seattle,Master,8,4,Yes,126370,22.8,28812,155182
EMP0198,Operations,Senior,Male,New York,Master,12,4,No,124727,14.6,18210,142937
EMP0199,HR,Mid,Male,Seattle,Bachelor,3,5,No,84401,9.5,8018,92419
EMP0200,HR,Lead,Female,San Francisco,High School,4,5,Yes,148038,2.5,3700,151738
EMP0201,Legal,Mid,Female,San Francisco,Master,22,4,No,141580,4.3,6087,147667
EMP0202,Engineering,Junior,Male,Seattle,PhD,17,2,No,100288,17.0,17048,117336
EMP0203,Finance,Junior,Male,Austin,Master,9,3,Yes,68967,0.4,275,69242
EMP0204,Sales,Junior,Male,Seattle,Bachelor,24,3,Yes,101408,22.1,22411,123819
EMP0205,Sales,Mid,Female,Remote,Bachelor,3,3,No,73935,14.7,10868,84803
EMP0206,Engineering,Lead,Female,Seattle,PhD,12,5,No,197960,1.1,2177,200137
EMP0207,Marketing,Mid,Male,Seattle,High School,12,5,No,106966,6.0,6417,113383
EMP0208,Engineering,Senior,Male,Austin,Bachelor,16,3,No,148866,14.9,22181,171047
EMP0209,Marketing,Senior,Male,Chicago,Bachelor,7,2,Yes,108371,0.9,975,109346
EMP0210,Design,Mid,Female,San Francisco,Bachelor,3,1,No,96005,19.5,18720,114725
EMP0211,Finance,Senior,Male,Remote,Bachelor,22,3,No,129424,23.0,29767,159191
EMP0212,Finance,Senior,Male,New York,Bachelor,2,1,No,120417,24.0,28900,149317
EMP0213,HR,Senior,Female,San Francisco,Master,10,4,Yes,131359,18.3,24038,155397
EMP0214,HR,Mid,Male,San Francisco,Bachelor,11,4,No,103164,21.4,22077,125241
EMP0215,HR,Senior,Female,Chicago,Bachelor,8,5,Yes,113392,15.3,17348,130740
EMP0216,Design,Director,Male,San Francisco,Bachelor,14,3,No,227616,11.5,26175,253791
EMP0217,HR,Mid,Female,San Francisco,PhD,12,3,No,101155,17.8,18005,119160
EMP0218,Sales,Mid,Male,Austin,Master,4,5,No,90929,5.6,5092,96021
EMP0219,Legal,Senior,Female,Austin,High School,4,3,No,117425,2.7,3170,120595
EMP0220,HR,Junior,Male,Austin,High School,18,2,Yes,76572,19.0,14548,91120
EMP0221,Design,Senior,Male,Austin,Bachelor,10,2,No,113526,24.0,27246,140772
EMP0222,HR,Mid,Female,Austin,Master,8,4,Yes,79090,14.4,11388,90478
EMP0223,HR,Junior,Female,Remote,Bachelor,2,4,Yes,46186,12.1,5588,51774
EMP0224,Marketing,Senior,Male,New York,Bachelor,17,5,Yes,137539,13.4,18430,155969
EMP0225,Operations,Junior,Female,Chicago,Master,12,2,No,69497,12.0,8339,77836
EMP0226,HR,Mid,Male,Seattle,Master,24,4,Yes,117083,11.1,12996,130079
EMP0227,Design,Junior,Female,Remote,Bachelor,11,4,Yes,70001,23.7,16590,86591
EMP0228,Engineering,Junior,Male,Austin,Bachelor,8,3,No,79728,12.0,9567,89295
EMP0229,HR,Lead,Male,Chicago,Bachelor,9,5,No,134816,2.0,2696,137512
EMP0230,HR,Manager,Male,Seattle,Bachelor,12,4,No,163543,19.1,31236,194779
EMP0231,Sales,Mid,Female,San Francisco,Bachelor,19,5,No,129037,9.8,12645,141682
EMP0232,Operations,Senior,Female,Remote,PhD,19,5,No,119503,17.8,21271,140774
EMP0233,HR,Mid,Male,San Francisco,High School,12,3,No,109368,14.5,15858,125226
EMP0234,Operations,Senior,Non-binary,Chicago,Master,21,4,No,133512,17.8,23765,157277
EMP0235,Marketing,Mid,Male,New York,Bachelor,8,3,Yes,90936,1.5,1364,92300
EMP0236,Finance,Mid,Male,New York,Bachelor,23,4,Yes,126560,0.8,1012,127572
EMP0237,Operations,Lead,Female,Chicago,Master,9,4,Yes,133161,9.5,12650,145811
EMP0238,Operations,Junior,Male,New York,Master,18,4,Yes,86992,17.3,15049,102041
EMP0239,HR,Junior,Male,New York,PhD,5,1,No,58635,5.6,3283,61918
EMP0240,Legal,Lead,Male,San Francisco,Bachelor,6,4,No,184453,10.8,19920,204373
EMP0241,HR,Senior,Male,New York,High School,14,3,Yes,126474,24.5,30986,157460
EMP0242,HR,Senior,Female,New York,Bachelor,21,3,No,137514,5.4,7425,144939
EMP0243,Sales,Senior,Male,Chicago,Bachelor,18,4,No,136316,21.2,28898,165214
EMP0244,Legal,Senior,Male,New York,Bachelor,13,2,No,150582,20.6,31019,181601
EMP0245,Finance,Mid,Male,Remote,Master,15,3,No,96789,22.3,21583,118372
EMP0246,Sales,Mid,Male,Austin,Bachelor,13,3,Yes,98624,22.9,22584,121208
EMP0247,Design,Senior,Male,Austin,PhD,24,3,No,138013,12.7,17527,155540
